arrival rates,storage manager service times,buffer residence times,storage manager residence time,End-to-End times
19.954584021572163,40.644930097105316,720.9672864674139,40.644930097105316,761.6122165645156
19.990497093477988,39.79368096395235,721.3414254514062,39.79368096395235,761.1351064153573
20.237169922596205,40.08479109597436,717.0065848945418,40.08479109597436,757.091375990517
20.015846256130033,38.43168064663327,720.2361510523722,38.43168064663327,758.6678316990063
19.98958938109617,39.58644802473942,729.051829471072,39.58644802473942,768.638277495813
20.080753219736337,38.78676062998085,725.0510167680461,38.78676062998085,763.8377773980213
19.932944117239998,39.77773766104664,728.0244484251497,39.77773766104664,767.8021860861975
20.058747268682403,41.9711937455779,721.7974527956625,41.9711937455779,763.7686465412373
20.142681208127925,39.4221420345494,718.3875288847545,39.4221420345494,757.8096709193086
20.20250611185285,40.215253325114546,719.2449540775117,40.215253325114546,759.4602074026235
