arrival rates,storage manager service times,buffer residence times,storage manager residence time,End-to-End times
20.031010687479522,40.613410532356035,25.013355107997377,60.57285795637376,85.58621306437074
19.921259704195798,40.17235767934468,24.955021091439157,60.33652346732413,85.29154455876275
20.022211436568508,39.88769692411435,25.083890859660563,58.63433749621064,83.71822835587041
19.939814904396624,39.858654488853155,24.939776869870325,57.98105894262682,82.92083581249626
19.919724420224842,39.773222271923956,24.929523968083483,57.992377210589574,82.92190117867253
20.027036153766062,40.1033858825563,24.95598290146346,59.36745368878401,84.32343659024693
20.017942072211547,40.24957726399365,25.04602766097015,59.930182004069096,84.97620966504007
20.00876668519654,40.635050927427514,25.00969949645766,60.79430279577664,85.80400229223434
20.179752114419415,40.10261162802435,24.91626324430296,59.39338948234539,84.30965272664835
19.87461444594489,39.84345942840055,24.998350981346313,58.983299666592586,83.98165064793997
