arrival rates,storage manager service times,buffer residence times,storage manager residence time,End-to-End times
19.76630265018843,40.401368202723745,373.82769461872346,40.40136820272399,414.2290628214456
20.005830329332625,40.952045098309306,376.44050624505985,40.95204509830856,417.3925513433687
19.826796740336388,39.08247356755743,377.18459499902474,39.082473567557685,416.2670685665836
20.100648838163515,38.33678323522086,374.53321258663755,38.33678323522078,412.8699958218613
20.340591459272073,38.99796337124264,374.59849446615533,38.99796337124325,413.5964578374022
19.80455279165872,39.611244191739175,374.87622905458073,39.611244191739,414.48747324632177
20.007301360535866,40.895616085221434,375.7795972677491,40.895616085222045,416.6752133529717
19.980711590779784,37.907957121472485,377.7049721713661,37.907957121472656,415.6129292928423
19.997031279713394,40.435299373575766,374.5235168291464,40.43529937357616,414.9588162027209
20.395375529189227,41.695738647850305,377.07150437142184,41.695738647850646,418.7672430192738
