arrival rates,storage manager service times,buffer residence times,storage manager residence time,End-to-End times
20.07718572402282,40.22787174252879,0,215.012084369142,215.012084369142
20.041982672561566,39.98309181186509,0,200.07630017537707,200.07630017537707
20.005150240481132,39.96081061083428,0,195.89096709466816,195.89096709466816
20.0014482626542,39.853356057703984,0,194.5585540723292,194.5585540723292
19.93039844241144,40.0033260278936,0,197.54732732322316,197.54732732322316
20.035170142563803,40.04524801185434,0,202.50594177949583,202.50594177949583
20.10060559083029,39.99106047571531,0,200.08454556772978,200.08454556772978
20.06624410388777,39.872517060463196,0,203.1540579819862,203.1540579819862
20.03145215033451,40.08317197430875,0,208.32711838547516,208.32711838547516
20.003159868843646,40.127346683638905,0,196.8437077043316,196.8437077043316
